Bob, 01644, 3066676807, PR, 849,537,082.44, 73,032,515.88, 2.4
Alice, 01842, 5793500940, PA, 252,981,335.24, 27,197,092.60, 3.3
Bob, 01644, 5409380097, GA, 724,289,838.39, 791,861,297.53, 1.7
Mary Ellen, 00522, 7342053423, GA, 379,389,909.93, 101,233,985.06, 4.2
D'Andre, 01847, 7798716759, LA, 403,186,697.88, 434,457,531.01, 1.7
Dahlia, 01412, 6001196495, PA, 590,761,679.51, 727,521,736.20, 3.4
Mary Ellen, 00522, 9784516764, PR, 777,381,855.23, 209,686,568.62, 3.4
Mary Ellen, 00522, 1809813311, PA, 77,006,899.68, 191,009,027.70, 1.0
D'Andre, 01847, 4390585434, NJ, 515,710,758.93, 406,831,313.85, 3.5
Mary Ellen, 00522, 8291757809, LA, 280,057,122.00, 143,263,573.58, 2.2
Gil-dong, 01546, 8159028454, MN, 338,584,607.69, 80,937,639.37, 3.4
Fahed, 01076, 8364403746, FL, 694,243,422.74, 279,885,969.31, 0.1
Gil-dong, 01546, 5901347703, CA, 993,494,175.64, 958,770,592.05, 2.8
Gil-dong, 01546, 6237402354, NY, 253,396,251.42, 764,267,159.75, 3.1
