Mary Ellen, 00522, 1293572056, FL, 735,419,073.03, 767,144,279.44, 2.6
Mary Ellen, 00522, 8939725204, MN, 275,692,209.07, 861,339,763.15, 4.5
Jean-Paul, 01084, 1015244478, LA, 118,863,381.07, 651,411,053.79, .7
Mary Ellen, 00522, 7449901750, NJ, 746,648,140.34, 95,454,412.31, 4.0
Jean-Paul, 01084, 9886347862, CA, 115,704,793.29, 973,699,481.33, 3.5
Alice, 01842, 9003775801, CA, 913,256,604.82, 762,652,068.22, 4.3
Alice, 01842, 3112288931, NY, 310,083,634.34, 771,598,038.25, 1.7
Mary Ellen, 00522, 1667969160, PA, 697,507,285.49, 352,070,308.39, 4.9
Jonathan, 00530, 5328894144, FL, 23,675,110.08, 512,326,811.31, 5.
D'Andre, 01847, 3911138919, CA, 838,600,760.00, 246,065,829.99, 2.3
Jean-Paul, 01084, 5901635354, NJ, 172,951,067.84, 11,469,897.73, 4.3
Fahed, 01076, 4509680360, WA, 107,648,384.02, 859,771,130.69, .1
Jonathan, 00530, 3866354220, GA, 629,530,024.95, 384,896,742.31, 3.9
Alice, 01842, 9911844144, PA, 704,910,154.91, 756,214,811.55, 2.3
Jonathan, 00530, 2033319284, WA, 880,874,171.67, 897,791,362.43, 2.5
Jean-Paul, 01084, 4380299831, PR, 940,702,391.23, 775,660,132.58, 4.
Dahlia, 01412, 9052241891, GA, 776,277,801.87, 814,899,869.48, 1.4
