Mary Ellen, 00522, 1293572056, FL, 767,144,279.44, 31,725,206.41
Mary Ellen, 00522, 8939725204, MN, 861,339,763.15, 585,647,554.08
Jean-Paul, 01084, 1015244478, LA, 651,411,053.79, 532,547,672.72
Mary Ellen, 00522, 7449901750, NJ, 95,454,412.31, -651,193,728.03
Jean-Paul, 01084, 9886347862, CA, 973,699,481.33, 857,994,688.04
Alice, 01842, 9003775801, CA, 762,652,068.22, -150,604,536.60
Alice, 01842, 3112288931, NY, 771,598,038.25, 461,514,403.91
Mary Ellen, 00522, 1667969160, PA, 352,070,308.39, -345,436,977.10
Jonathan, 00530, 5328894144, FL, 512,326,811.31, 488,651,701.23
D'Andre, 01847, 3911138919, CA, 246,065,829.99, -592,534,930.01
Jean-Paul, 01084, 5901635354, NJ, 11,469,897.73, -161,481,170.11
Fahed, 01076, 4509680360, WA, 859,771,130.69, 752,122,746.67
Jonathan, 00530, 3866354220, GA, 384,896,742.31, -244,633,282.64
Alice, 01842, 9911844144, PA, 756,214,811.55, 51,304,656.64
Jonathan, 00530, 2033319284, WA, 897,791,362.43, 16,917,190.76
Jean-Paul, 01084, 4380299831, PR, 775,660,132.58, -165,042,258.65
Dahlia, 01412, 9052241891, GA, 814,899,869.48, 38,622,067.61
