Mary Ellen, 00522, 1068766720, CA, 309,024,952.18, 550,693,443.44, 3.
Dahlia, 01412, 2949705929, GA, 721,247,537.67, 703,838,348.00, 0.5
Gil-dong, 01546, 6889161785, NY, 886,820,727.14, 254,729,558.65, 3.2
D'Andre, 01847, 2716732831, MN, 166,148,264.44, 263,722,613.71, 4.8
Bob, 01644, 2499130900, PR, 914,696,917.84, 779,128,745.54, 4.8
D'Andre, 01847, 6825270955, WA, 991,426,986.86, 587,530,855.72, 4.5
Gil-dong, 01546, 7626731066, FL, 691,116,387.85, 157,828,140.79, 4.1
Gil-dong, 01546, 5269199420, NJ, 650,081,781.91, 113,802,533.45, 1.8
Bob, 01644, 8128367621, NY, 484,159,612.33, 46,886,748.99, 0.4
Fahed, 01076, 5909357476, LA, 864,864,316.57, 924,616,716.77, 2.6
Alice, 01842, 3994690397, PA, 723,791,520.07, 934,735,795.36, 2.6
Alice, 01842, 5155681562, NJ, 631,929,992.43, 828,598,174.43, 3.2
