Mary Ellen, 00522, 1068766720, CA, 550,693,443.44, 241,668,491.26
Dahlia, 01412, 2949705929, GA, 703,838,348.00, -17,409,189.67
Gil-dong, 01546, 6889161785, NY, 254,729,558.65, -632,091,168.49
D'Andre, 01847, 2716732831, MN, 263,722,613.71, 97,574,349.27
Bob, 01644, 2499130900, PR, 779,128,745.54, -135,568,172.30
D'Andre, 01847, 6825270955, WA, 587,530,855.72, -403,896,131.14
Gil-dong, 01546, 7626731066, FL, 157,828,140.79, -533,288,247.06
Gil-dong, 01546, 5269199420, NJ, 113,802,533.45, -536,279,248.46
Bob, 01644, 8128367621, NY, 46,886,748.99, -437,272,863.34
Fahed, 01076, 5909357476, LA, 924,616,716.77, 59,752,400.20
Alice, 01842, 3994690397, PA, 934,735,795.36, 210,944,275.29
Alice, 01842, 5155681562, NJ, 828,598,174.43, 196,668,182.00
