Jean-Paul, 00542, 6764397467, GA, 736,143,618.50, 672,591,580.69, 4.3
D'Andre, 00923, 8414878322, PA, 522,704,930.97, 395,375,562.19, 2.9
Jonathan, 00265, 8980848302, PR, 46,631,282.15, 943,702,322.37, 1.5
Dahlia, 00706, 7735340740, GA, 474,447,207.50, 666,982,407.12, 1.3
Jean-Paul, 00542, 2019588397, MN, 352,667,264.69, 221,626,594.27, 3.5
Bob, 00822, 2043748157, GA, 829,515,814.36, 647,296,432.01, 3.4
Gil-dong, 00773, 6894109408, MN, 822,066,757.93, 672,860,286.82, 2.7
Fahed, 00538, 7453180065, PR, 926,994,048.68, 502,819,901.90, 0.4
Bob, 00822, 2539556528, PR, 641,952,807.42, 609,835,024.73, 0.4
D'Andre, 00923, 7106553676, FL, 773,365,092.36, 537,073,366.96, 1.4
Jonathan, 00265, 5447780492, PR, 789,125,688.46, 526,886,402.48, 4.8
Jonathan, 00265, 3928162402, NJ, 965,562,910.29, 870,297,833.11, 2.0
Alice, 00921, 6548579108, PR, 671,614,403.99, 443,850,471.93, 3.8
Gil-dong, 00773, 2809329380, PA, 776,823,651.34, 98,700,514.03, 1.7
Mary Ellen, 00261, 4357663399, CA, 810,451,463.27, 481,091,412.48, 4.6
D'Andre, 00923, 9859374885, PR, 72,794,881.35, 235,814,807.96, 1.9
Mary Ellen, 00261, 4982766765, CA, 374,860,400.80, 329,938,979.67, 4.6
Alice, 00921, 7285678784, CA, 767,940,819.88, 525,711,971.65, 3.9
Dahlia, 00706, 0761470074, LA, 179,393,769.67, 66,825,194.41, 1.2
