Jean-Paul, 00542, 6764397467, GA, 672,591,580.69, -63,552,037.81
D'Andre, 00923, 8414878322, PA, 395,375,562.19, -127,329,368.78
Jonathan, 00265, 8980848302, PR, 943,702,322.37, 897,071,040.22
Dahlia, 00706, 7735340740, GA, 666,982,407.12, 192,535,199.62
Jean-Paul, 00542, 2019588397, MN, 221,626,594.27, -131,040,670.42
Bob, 00822, 2043748157, GA, 647,296,432.01, -182,219,382.35
Gil-dong, 00773, 6894109408, MN, 672,860,286.82, -149,206,471.11
Fahed, 00538, 7453180065, PR, 502,819,901.90, -424,174,146.78
Bob, 00822, 2539556528, PR, 609,835,024.73, -32,117,782.69
D'Andre, 00923, 7106553676, FL, 537,073,366.96, -236,291,725.40
Jonathan, 00265, 5447780492, PR, 526,886,402.48, -262,239,285.98
Jonathan, 00265, 3928162402, NJ, 870,297,833.11, -95,265,077.18
Alice, 00921, 6548579108, PR, 443,850,471.93, -227,763,932.06
Gil-dong, 00773, 2809329380, PA, 98,700,514.03, -678,123,137.31
Mary Ellen, 00261, 4357663399, CA, 481,091,412.48, -329,360,050.79
D'Andre, 00923, 9859374885, PR, 235,814,807.96, 163,019,926.61
Mary Ellen, 00261, 4982766765, CA, 329,938,979.67, -44,921,421.13
Alice, 00921, 7285678784, CA, 525,711,971.65, -242,228,848.23
Dahlia, 00706, 0761470074, LA, 66,825,194.41, -112,568,575.26
