Jean-Paul, 08673, 8122356791, NY, 275,053,948.87, -428,626,856.74
Alice, 14739, 9789129143, PA, 893,150,704.56, 221,658,126.98
Dahlia, 11299, 1598638094, NY, 657,863,939.63, 45,902,747.54
Bob, 13153, 0588543138, FL, 502,585,879.77, 272,695,366.12
Mary Ellen, 04180, 8978348056, MN, 329,712,275.40, 301,752,120.10
Alice, 14739, 4588413984, NJ, 223,419,352.39, -529,202,309.13
Jonathan, 04246, 8944294769, GA, 279,161,616.97, -64,312,653.07
Jonathan, 04246, 1737341797, PR, 251,776,869.07, -8,379,753.49
Jonathan, 04246, 1292240207, LA, 748,927,074.47, 347,277,122.58
D'Andre, 14777, 1262991828, WA, 208,276,028.53, -580,492,667.98
D'Andre, 14777, 9284298115, FL, 972,834,320.93, 149,027,135.02
Dahlia, 11299, 9848580264, GA, 675,153,509.25, -133,710,051.88
D'Andre, 14777, 9997754362, PR, 472,943,997.52, -474,042,917.17
Dahlia, 11299, 3072381256, PR, 165,740,218.01, 58,501,117.16
