Jean-Paul, 08673, 8122356791, NY, 703,680,805.61, 275,053,948.87, 2.3
Alice, 14739, 9789129143, PA, 671,492,577.58, 893,150,704.56, 4.4
Dahlia, 11299, 1598638094, NY, 611,961,192.09, 657,863,939.63, .5
Bob, 13153, 0588543138, FL, 229,890,513.65, 502,585,879.77, 2.5
Mary Ellen, 04180, 8978348056, MN, 27,960,155.30, 329,712,275.40, 3.1
Alice, 14739, 4588413984, NJ, 752,621,661.52, 223,419,352.39, 3.5
Jonathan, 04246, 8944294769, GA, 343,474,270.04, 279,161,616.97, 1.6
Jonathan, 04246, 1737341797, PR, 260,156,622.56, 251,776,869.07, 2.7
Jonathan, 04246, 1292240207, LA, 401,649,951.89, 748,927,074.47, 3.2
D'Andre, 14777, 1262991828, WA, 788,768,696.51, 208,276,028.53, 1.3
D'Andre, 14777, 9284298115, FL, 823,807,185.91, 972,834,320.93, 0.6
Dahlia, 11299, 9848580264, GA, 808,863,561.13, 675,153,509.25, 0.9
D'Andre, 14777, 9997754362, PR, 946,986,914.69, 472,943,997.52, 2.1
Dahlia, 11299, 3072381256, PR, 107,239,100.85, 165,740,218.01, 4.3
