Gil-dong, 03093, 8674365745, NY, 881,821,656.65, 399,087,524.01, 4.1
Mary Ellen, 01045, 4874821854, PR, 2,682,732.44, 17,384,297.68, 4.9
Alice, 03684, 6642131762, PR, 248,898,813.26, 390,594,050.24, 1.2
Gil-dong, 03093, 1570145534, LA, 734,121,237.49, 646,369,746.10, 3.9
Bob, 03288, 0304071674, LA, 760,914,760.94, 333,842,626.30, 2.1
Mary Ellen, 01045, 7932851485, WA, 558,082,002.84, 846,180,248.28, 1.5
Dahlia, 02824, 9637631012, WA, 56,469,523.12, 473,365,844.28, 3.2
Fahed, 02153, 1627452575, GA, 674,393,226.29, 749,323,147.45, .3
Alice, 03684, 9534001200, PR, 496,055,595.49, 145,342,949.38, 1.2
Jean-Paul, 02168, 9471782950, PA, 174,516,609.11, 260,119,908.02, 4.5
Jean-Paul, 02168, 6460873814, FL, 82,372,882.15, 887,442,223.30, 0.2
