Gil-dong, 03093, 8674365745, NY, 399,087,524.01, -482,734,132.64
Mary Ellen, 01045, 4874821854, PR, 17,384,297.68, 14,701,565.24
Alice, 03684, 6642131762, PR, 390,594,050.24, 141,695,236.98
Gil-dong, 03093, 1570145534, LA, 646,369,746.10, -87,751,491.39
Bob, 03288, 0304071674, LA, 333,842,626.30, -427,072,134.64
Mary Ellen, 01045, 7932851485, WA, 846,180,248.28, 288,098,245.44
Dahlia, 02824, 9637631012, WA, 473,365,844.28, 416,896,321.16
Fahed, 02153, 1627452575, GA, 749,323,147.45, 74,929,921.16
Alice, 03684, 9534001200, PR, 145,342,949.38, -350,712,646.11
Jean-Paul, 02168, 9471782950, PA, 260,119,908.02, 85,603,298.91
Jean-Paul, 02168, 6460873814, FL, 887,442,223.30, 805,069,341.15
