Dahlia, 45196, 4007437250, CA, 421,617,937.29, 191,553,603.10
Fahed, 34458, 9073536789, NJ, 683,138,108.15, 35,182,200.21
Mary Ellen, 16721, 0158668010, NY, 196,329,715.10, -542,590,281.70
Mary Ellen, 16721, 0146066949, NJ, 337,352,307.69, -68,474,722.18
Dahlia, 45196, 5123952003, WA, 377,143,215.31, -497,534,789.24
Fahed, 34458, 2175573902, PR, 168,284,373.73, -825,293,963.60
Fahed, 34458, 3261012768, PR, 944,238,190.89, 786,589,648.61
Alice, 58959, 9513488179, WA, 175,573,314.07, 15,142,679.90
Mary Ellen, 16721, 0612236253, NY, 932,892,993.55, 74,106,368.67
Gil-dong, 49492, 4042937721, NY, 405,349,599.17, -18,600,316.57
D'Andre, 59108, 3323975449, CA, 457,533,424.11, 26,222,401.13
Fahed, 34458, 7200988069, NJ, 348,444,290.00, -583,881,282.53
Fahed, 34458, 8813204952, PR, 399,513,189.39, -162,936,091.68
Jonathan, 16984, 8884925715, PA, 833,177,112.49, 599,013,140.65
Dahlia, 45196, 8386806446, PA, 965,532,297.61, 124,668,831.48
Mary Ellen, 16721, 4979059211, NJ, 47,648,744.29, -637,696,678.12
Mary Ellen, 16721, 1568074497, MN, 44,828,025.06, -570,446,807.24
Jean-Paul, 34692, 3566343035, NJ, 449,933,841.85, 326,614,104.85
Mary Ellen, 16721, 3545714142, NY, 526,379,399.33, 420,051,735.02
Jonathan, 16984, 3054906714, PA, 868,250,969.45, 807,860,326.33
Dahlia, 45196, 5111127080, FL, 134,592,695.83, -620,438,706.76
Fahed, 34458, 3869609384, CA, 15,509,475.08, -31,718,655.61
D'Andre, 59108, 7978472719, PR, 540,225,110.62, 434,385,368.88
