Bob, 00411, 1844703931, NJ, 616,521,973.07, -269,630,017.30
Jonathan, 00132, 7772633248, PA, 373,804,921.09, 197,158,306.41
Jonathan, 00132, 9623702852, GA, 869,905,028.91, 301,100,029.30
D'Andre, 00461, 1310680497, FL, 553,201,986.35, -230,368,641.77
Jean-Paul, 00271, 5269673600, PR, 574,442,018.83, -107,958,822.82
Jean-Paul, 00271, 4603260391, FL, 740,267,922.87, 14,953,847.79
Dahlia, 00353, 6167086820, GA, 543,580,166.72, -184,002,227.41
D'Andre, 00461, 3566337470, PR, 564,511,407.30, 533,567,799.93
Mary Ellen, 00130, 2769423813, FL, 686,819,244.61, -166,499,906.14
Jean-Paul, 00271, 7569449436, PA, 210,339,392.31, -299,409,790.91
