Fahed, 00134, 6374085921, PR, 222,144,825.42, 572,169,198.31, 1.6
Dahlia, 00176, 7685984602, PA, 753,994,716.48, 520,917,775.38, .3
Fahed, 00134, 9642313570, NY, 54,968,638.55, 126,788,013.49, 1.0
Bob, 00205, 6335008496, NJ, 318,841,691.35, 286,386,814.70, 2.6
Jonathan, 00066, 1310157128, GA, 193,048,497.04, 683,032,015.40, .4
Jonathan, 00066, 1264544439, PA, 127,418,307.48, 570,190,079.03, 2.7
Jonathan, 00066, 2121012208, PA, 849,594,272.32, 597,047,726.21, 1.1
Fahed, 00134, 5776200878, WA, 281,709,665.26, 572,165,852.67, 1.1
Dahlia, 00176, 7902877166, WA, 219,724,949.65, 981,487,912.45, 1.1
Jonathan, 00066, 7050344090, LA, 15,824,360.66, 122,604,382.71, 3.8
