Alice, 07369, 7559775457, CA, 449,888,478.41, 53,207,585.39, 3.9
Alice, 07369, 7212528457, LA, 196,413,422.96, 675,657,451.96, 3.2
Alice, 07369, 8070185437, GA, 856,084,922.92, 891,906,035.54, 3.7
Dahlia, 05649, 3137564660, GA, 229,224,596.61, 414,768,812.69, 2.6
Dahlia, 05649, 2293990818, CA, 647,285,290.60, 756,661,276.80, 2.4
Gil-dong, 06186, 8908912068, CA, 127,677,544.11, 76,407,685.24, 4.9
Jean-Paul, 04336, 3994249942, PR, 483,035,956.68, 928,180,092.20, 3.0
Fahed, 04307, 0566429531, MN, 594,454,552.06, 532,058,406.76, 1.0
Mary Ellen, 02090, 9761575063, GA, 826,887,625.77, 105,490,217.46, 4.7
D'Andre, 07388, 2956867318, NY, 342,305,270.71, 25,122,048.65, 0.9
Gil-dong, 06186, 4537822678, NY, 906,676,045.71, 479,663,878.44, 3.9
Fahed, 04307, 3885353730, PA, 644,241,599.64, 339,305,647.16, 2.5
Bob, 06576, 2550106389, PR, 707,465,391.87, 567,208,180.19, 0.0
D'Andre, 07388, 9030883761, NJ, 120,742,891.56, 410,235,703.68, 0.2
D'Andre, 07388, 4018940532, PR, 521,760,515.85, 20,752,026.06, 2.5
Gil-dong, 06186, 8809044024, MN, 39,436,404.17, 301,098,596.06, 3.0
