Alice, 07369, 7559775457, CA, 53,207,585.39, -396,680,893.02
Alice, 07369, 7212528457, LA, 675,657,451.96, 479,244,029.00
Alice, 07369, 8070185437, GA, 891,906,035.54, 35,821,112.62
Dahlia, 05649, 3137564660, GA, 414,768,812.69, 185,544,216.08
Dahlia, 05649, 2293990818, CA, 756,661,276.80, 109,375,986.20
Gil-dong, 06186, 8908912068, CA, 76,407,685.24, -51,269,858.87
Jean-Paul, 04336, 3994249942, PR, 928,180,092.20, 445,144,135.52
Fahed, 04307, 0566429531, MN, 532,058,406.76, -62,396,145.30
Mary Ellen, 02090, 9761575063, GA, 105,490,217.46, -721,397,408.31
D'Andre, 07388, 2956867318, NY, 25,122,048.65, -317,183,222.06
Gil-dong, 06186, 4537822678, NY, 479,663,878.44, -427,012,167.27
Fahed, 04307, 3885353730, PA, 339,305,647.16, -304,935,952.48
Bob, 06576, 2550106389, PR, 567,208,180.19, -140,257,211.68
D'Andre, 07388, 9030883761, NJ, 410,235,703.68, 289,492,812.12
D'Andre, 07388, 4018940532, PR, 20,752,026.06, -501,008,489.79
Gil-dong, 06186, 8809044024, MN, 301,098,596.06, 261,662,191.89
