Gil-dong, 03093, 9739113231, FL, 303,392,493.75, 708,470,319.69, 2.0
Mary Ellen, 01045, 2487343935, GA, 947,357,148.16, 879,688,997.87, 4.0
Alice, 03684, 4114740583, FL, 727,153,979.06, 906,831,789.19, 4.8
Jonathan, 01061, 6790814160, FL, 496,574,700.82, 96,000,822.81, 2.4
Jean-Paul, 02168, 1835009215, GA, 648,767,370.36, 43,025,674.00, 1.7
Dahlia, 02824, 9778185648, PR, 195,454,290.04, 978,693,694.11, 4.1
Mary Ellen, 01045, 0571102368, MN, 146,297,063.50, 764,546,690.99, .1
Bob, 03288, 2065703909, GA, 211,537,272.79, 154,556,777.61, 4.1
Bob, 03288, 0769133458, MN, 399,736,147.23, 540,422,594.23, 3.5
Fahed, 02153, 1351651123, FL, 593,395,958.78, 88,568,366.55, 3.8
D'Andre, 03694, 1515340712, PR, 82,500,365.30, 333,612,905.24, 2.9
Gil-dong, 03093, 9992656012, PR, 382,725,709.59, 164,661,047.31, 1.5
Jean-Paul, 02168, 5531198558, WA, 26,703,034.09, 653,531,868.46, 2.8
Alice, 03684, 0660825900, GA, 173,557,506.12, 497,824,362.88, .7
Gil-dong, 03093, 1459903450, CA, 513,850,346.11, 752,548,530.40, 4.6
Alice, 03684, 5596979744, NY, 562,360,901.51, 424,308,799.96, 4.5
Dahlia, 02824, 4189986340, PR, 46,942,880.66, 866,201,173.01, .3
Dahlia, 02824, 1527276570, PA, 626,407,799.78, 526,810,067.00, 2.6
Jonathan, 01061, 5615647893, WA, 737,283,533.85, 638,923,522.70, 4.5
Bob, 03288, 4719965001, WA, 239,215,005.66, 570,150,280.97, 4.3
D'Andre, 03694, 6960508609, CA, 819,744,015.12, 108,866,925.39, 3.8
Jean-Paul, 02168, 4327298621, GA, 366,953,551.85, 610,006,022.22, 4.6
Dahlia, 02824, 9677417885, PA, 53,246,539.88, 483,228,401.04, 3.3
Fahed, 02153, 7213373185, PA, 822,515,838.08, 607,535,716.43, 0.1
