Mary Ellen, 16721, 6676367405, PA, 79,663,568.12, 473,772,445.65, 0.2
Fahed, 34458, 5452019341, FL, 138,935,870.57, 940,008,794.87, .1
Dahlia, 45196, 7866980618, CA, 248,678,055.79, 580,147,455.92, 4.6
Fahed, 34458, 9803528943, PR, 57,386,622.43, 453,260,866.19, .4
Bob, 52614, 5255359346, LA, 749,034,973.72, 15,124,579.81, 0.6
Jean-Paul, 34692, 2343563946, GA, 485,051,847.06, 524,280,441.65, .5
Fahed, 34458, 7444746207, NY, 130,729,543.44, 905,839,380.16, 3.2
Gil-dong, 49492, 7978283374, PR, 893,697,696.01, 87,144,063.53, .4
Gil-dong, 49492, 0036408750, NJ, 117,600,977.68, 804,915,752.75, 0.0
Jonathan, 16984, 8425763203, MN, 776,656,822.83, 799,571,601.46, 4.8
Dahlia, 45196, 4967563839, NY, 477,343,285.68, 724,872,812.69, 1.7
Gil-dong, 49492, 9553801663, MN, 940,152,240.24, 617,124,062.97, 4.0
Gil-dong, 49492, 1550925100, NJ, 187,262,371.63, 574,192,242.83, 0.9
Alice, 58959, 1539406894, MN, 336,232,502.99, 538,764,198.26, 2.6
D'Andre, 59108, 9892916524, WA, 134,181,391.62, 447,493,078.43, 0.6
Jean-Paul, 34692, 9472196632, NY, 776,178,516.96, 866,520,797.82, 1.7
D'Andre, 59108, 4178970053, WA, 10,547,531.89, 898,038,159.35, 1.6
Jean-Paul, 34692, 9836293436, FL, 449,158,869.63, 582,698,804.78, 2.5
Mary Ellen, 16721, 3922973072, NY, 960,753,634.36, 961,624,858.49, 0.9
Fahed, 34458, 0329076396, NJ, 808,056,922.41, 98,018,720.64, 3.3
