Jonathan, 00066, 6693989757, MN, 996,512,853.79, 899,885,576.45
Gil-dong, 00193, 8870909258, GA, 2,529,843.88, -777,159,217.82
Mary Ellen, 00065, 1505361883, GA, 111,591,793.42, -581,949,859.96
Gil-dong, 00193, 3047335515, PA, 513,288,113.38, 336,693,577.78
D'Andre, 00230, 6442595617, GA, 239,913,688.47, -154,487,214.73
Jean-Paul, 00135, 5729241552, CA, 534,518,566.80, -24,062,111.85
Bob, 00205, 4189146967, MN, 834,815,218.37, 636,879,956.28
Gil-dong, 00193, 3254688825, LA, 828,532,848.83, 703,374,814.07
Jean-Paul, 00135, 8969134147, PA, 970,652,570.22, 64,989,675.22
Dahlia, 00176, 6166168536, MN, 547,181,013.27, -255,586,069.00
Jean-Paul, 00135, 0951229406, CA, 807,497,283.28, 448,815,976.81
Gil-dong, 00193, 3985988699, NJ, 884,134,688.70, 490,270,928.49
