Jonathan, 00066, 6693989757, MN, 96,627,277.34, 996,512,853.79, 0.1
Gil-dong, 00193, 8870909258, GA, 779,689,061.70, 2,529,843.88, 0.6
Mary Ellen, 00065, 1505361883, GA, 693,541,653.38, 111,591,793.42, 2.8
Gil-dong, 00193, 3047335515, PA, 176,594,535.60, 513,288,113.38, 1.7
D'Andre, 00230, 6442595617, GA, 394,400,903.20, 239,913,688.47, 2.2
Jean-Paul, 00135, 5729241552, CA, 558,580,678.65, 534,518,566.80, 4.7
Bob, 00205, 4189146967, MN, 197,935,262.09, 834,815,218.37, 2.0
Gil-dong, 00193, 3254688825, LA, 125,158,034.76, 828,532,848.83, 2.6
Jean-Paul, 00135, 8969134147, PA, 905,662,895.00, 970,652,570.22, 4.8
Dahlia, 00176, 6166168536, MN, 802,767,082.27, 547,181,013.27, 3.1
Jean-Paul, 00135, 0951229406, CA, 358,681,306.47, 807,497,283.28, 1.9
Gil-dong, 00193, 3985988699, NJ, 393,863,760.21, 884,134,688.70, 4.7
