Jean-Paul, 02168, 0804388409, WA, 302,228,360.58, 20,225,496.87
Dahlia, 02824, 1979119898, PA, 329,367,189.92, -209,083,971.28
Alice, 03684, 9163982665, NY, 918,439,640.14, -76,172,660.97
Mary Ellen, 01045, 7200334734, WA, 388,668,896.98, -462,657,566.86
Gil-dong, 03093, 0433144660, GA, 814,415,300.91, 772,527,649.81
Jean-Paul, 02168, 2787108441, FL, 716,460,070.82, 136,045,948.75
Fahed, 02153, 8178710893, GA, 111,146,451.61, -68,281,001.25
Jonathan, 01061, 4217816874, PR, 142,957,642.42, -693,269,550.55
Jonathan, 01061, 2835248628, GA, 723,828,905.99, 184,590,475.29
Fahed, 02153, 1809763614, FL, 672,258,638.56, 388,157,297.01
Mary Ellen, 01045, 7198761246, MN, 485,784,230.63, 408,162,029.80
Alice, 03684, 4904239683, NJ, 267,257,574.88, -653,782,513.80
Dahlia, 02824, 4326002741, MN, 775,003,665.06, 513,662,829.15
D'Andre, 03694, 7942098453, PR, 439,902,315.50, -301,535,788.23
Fahed, 02153, 9939634440, NY, 775,889,597.52, 451,674,996.33
Jean-Paul, 02168, 4057559378, MN, 976,909,716.44, 325,469,082.79
Gil-dong, 03093, 0411737758, NJ, 23,013,535.07, -101,743,990.78
Gil-dong, 03093, 3534847996, PR, 247,665,323.53, 82,546,883.81
Jean-Paul, 02168, 2368642901, NJ, 796,153,572.29, 239,213,804.59
